,Name,Affilation,H-index,Citations 2020,Total_citation,H-index_since_2016,Citation_since_2016,HomePage,Area of Research,Google_Scholar
65,José M. Merigó Lindahl,University of Technology Sydney,63,2684,18422,54,12929,http://uchilefau.academia.edu/JosemMerigo/CurriculumVitae,Computational IntelligenceDecision MakingAggregation OperatorsOWA OperatorBibliometrics,https://scholar.google.co.in/citations?hl=en&user=rprb9KwAAAAJ
66,Seyedali Mirjalili,"Professor, Torrens University Australia, Adjunct Griffith University",67,10572,39264,66,38173,https://au.linkedin.com/in/alimirjalili,MetaheuristicsRobust OptimizationEngineering OptimizationEvolutionary AlgorithmSwarm Intelligence,https://scholar.google.co.in/citations?hl=en&user=TJHmrREAAAAJ
67,Andreas F. Molisch,"Professor of Electrical Engineering, University of Southern California",100,5145,56686,75,28984,https://dblp.org/pid/54/2683,wireless propagation channelsmulti-antenna systemsultrawideband communications and positioningcooperative communications,https://scholar.google.co.in/citations?hl=en&user=W0wwrucAAAAJ
68,Derrick Wing Kwan Ng,"Scientia Senior Lecturer,  University of New South Wales",61,3494,16707,60,15224,http://www2.ee.unsw.edu.au/~derrick/,Wireless Communications,https://scholar.google.co.in/citations?hl=en&user=NUJSHxoAAAAJ
69,H. Nguyen-Xuan,"CIRTech Institute, Ho Chi Minh City University of Technology (HUTECH), Vietnam",66,2174,14440,57,10736,https://scholar.google.cat/citations?user=3iK9h-gAAAAJ&hl=ca,Computational EngineeringLarge-scale data3D PrintingRenewable Energy,https://scholar.google.com.vn/citations?user=3iK9h-gAAAAJ&hl=en
70,Dusit (Tao) Niyato,Nanyang Technological University (NTU),94,6842,42433,81,30734,https://dl.acm.org/profile/81313481268,ดุสิต นิยะโต - เต๋า,https://scholar.google.co.in/citations?hl=en&user=T8sVhLMAAAAJ
71,Mugen Peng,"Beijing University of Posts & Telecommun., IEEE Fellow, Web of Science Highly Cited Researcher",51,2231,14469,45,10746,https://sites.google.com/site/pengmg78/curriculum-vitae,Fog Radio Access NetworkHeterogeneous NetworksCloud Radio Access NetworksNetwork CodingRadio Resource Allocation and Opt,https://scholar.google.co.in/citations?hl=en&user=85mAZVcAAAAJ
72,Biswajeet Pradhan (SMIEEE),"Distinguished Prof. & Director, CAMGIS, University of Technology Sydney, Australia",104,8005,40629,92,33350,https://wikitia.com/wiki/Biswajeet_Pradhan,Geographic Information SystemsGeographic Information ScienceGeoinformaticsSpatial Data MiningNatural Hazards,https://scholar.google.co.in/citations?hl=en&user=kuKwsCwAAAAJ
73,Tony Q.S. Quek,"Full Professor and ISTD Pillar Head, SUTD",62,2726,16354,55,12588,https://www.csie.ncku.edu.tw/ncku_csie/depmember/teacherdetail/id/86?lang=en,Artificial intelligencewireless communicationsnetworkingIoTsignal processing,https://scholar.google.co.in/citations?hl=en&user=0o1tkokAAAAJ
74,Timon Rabczuk,Bauhaus University Weimar,102,6195,37795,91,29689,https://www.tdtu.edu.vn/en/prize-tdtu/2019/dr-timon,Computational MechanicsSolid Mechanics,https://scholar.google.com.sg/citations?hl=en&user=3CBuGosAAAAJ
75,Mubashir Husain Rehmani,"Assistant Lecturer, Munster Technological University (MTU), Ireland - Highly Cited Researcher",40,1702,7010,40,6737,https://ieeexplore.ieee.org/author/37545374700,Computer NetworkWireless NetworksWireless Sensor NetworksCognitive Radio NetworksSmart Grid,https://scholar.google.com.sg/citations?hl=en&user=x4OZtdAAAAAJ
76,Kui Ren,"Professor, Zhejiang University, ACM Fellow, IEEE Fellow",80,3823,38080,70,24788,https://www.guide2research.com/u/kui-ren,Data Security & PrivacyIoT SecurityAI Security,https://scholar.google.com.sg/citations?hl=en&user=uuQA_rcAAAAJ
77,Rosa M. Rodríguez,Postdoctoral reseacher (Ramon y Cajal). University of Jaén,24,813,5274,23,4496,https://scholar.google.com/citations?user=t4YyUEEAAAAJ&hl=en,linguistic preference modellingfuzzy decision makingdecision support systemcomputing with words,https://scholar.google.com.sg/citations?hl=en&user=t4YyUEEAAAAJ
78,Walid Saad,"Professor, Electrical and Computer Engineering",77,6346,27846,71,24467,https://digitalcommons.fiu.edu/ece_fac/68/,6G wireless systemsmachine learningsecuritycyber-physical systemsUnmanned aerial vehicles (UAVs),https://scholar.google.com.sg/citations?hl=en&user=kYDNA0UAAAAJ
79,Robert Schober,Friedrich-Alexander-University Erlangen-Nuremberg,90,5393,39662,76,28295,https://scholar.google.co.uk/citations?user=Uu0BpX8AAAAJ&hl=en,,https://scholar.google.co.in/citations?user=Uu0BpX8AAAAJ&hl=en
80,Michael A. Scott,"Associate Professor of Civil and Environmental Engineering, Brigham Young University",28,871,7616,26,5088,http://en.wikipedia.org/wiki/The_Secrets_of_the_Immortal_Nicholas_Flamel,computer aided designcomputational mechanicsisogeometric analysis,https://scholar.google.co.in/citations?hl=en&user=LZK2umcAAAAJ
81,"Ling Shao, Fellow of IEEE/IAPR","CEO & Chief Scientist, Inception Institute of Artificial Intelligence (IIAI)",76,5460,26783,73,23573,https://www.sciencedirect.com/science/article/abs/pii/S0925231217312511,Computer VisionDeep LearningArtificial IntelligenceMedical ImagingVision and Language,https://scholar.google.co.in/citations?hl=en&user=z84rLjoAAAAJ
82,Jian Shen,Nanjing University of Information Science and Technology,47,1717,7804,45,7391,https://www.linkedin.com/in/jian-shen-49a4b871,Information SecurityPublic Crypto,https://scholar.google.co.in/citations?hl=en&user=9ckkCDMAAAAJ
83,Xuemin (Sherman) Shen,"University Professor, University of Waterloo",127,8676,68647,99,42880,https://scholar.google.ca/citations?user=Bjl3GwoAAAAJ&hl=en,Wireless networkingMACNetwork securityVANET,https://scholar.google.co.in/citations?hl=en&user=Bjl3GwoAAAAJ
84,Peng Shi,"Professor, School of Electrical and Electronic Engineering, The University of Adelaide",144,8390,73147,117,47762,https://scholars.cityu.edu.hk/en/persons/peng-shi(0e151646-b642-4a53-98e0-b312de44ae71).html,Systems and ControlElectrical and Electronic EngineeringCyberneticsHuman-Computer Interaction,https://scholar.google.co.in/citations?hl=en&user=EGx1iH0AAAAJ
85,"Dr. P. N. Suganthan (SCI Highly Cited Researcher 2015-2021), FIEEE'2015","Some Codes available at GitHub, (Hon. Doctorate, U. of Maribor, 2020 ; BA & MA, U. of Cambridge, UK)",100,6223,52869,83,33185,https://0-scholar-google-com.brum.beds.ac.uk/citations?user=ZEGb1i4AAAAJ&hl=zh-CN,Machine Learning(ML)Swarm-Evolutionary Computation(SEC)Neural Networks(ANN)Applications of ML SEC ANN.,https://scholar.google.co.in/citations?hl=en&user=yZNzBU0AAAAJ
86,Hongye Su,Zhejiang University,69,2592,18816,56,12979,http://www.lccc.lth.se/hongye-su.html,,https://scholar.google.co.in/citations?hl=en&user=9rfFRjgAAAAJ
87,Xingming Sun,Nanjing University of Information Science and Technology,57,1898,15730,51,13265,https://www.amazon.in/Computer-Science-Xingming-Sun/s?rh=n%3A4149451031%2Cp_27%3AXingming+Sun&page=2,Digital WatermarkingInformation Security,https://scholar.google.co.in/citations?hl=en&user=epqnljMAAAAJ
88,Tarik Taleb,Aalto University and Oulu University,62,3138,17167,57,13876,https://www.aalto.fi/en/people/tarik-taleb,Network Function VirtualizationNetwork SoftwarizationSoftware Defined Networking,https://scholar.google.co.in/citations?hl=en&user=o1Ap0TEAAAAJ
89,"jen hong, tan","Highly Cited Researcher in Computer Science, National University of Singapore",46,2202,8458,44,7837,https://www.iss.nus.edu.sg/community/newsroom/news-detail/2020/04/25/q-a-with-dr.-tan-jen-hong-lecturer-consultant-artificial-intelligence-practice,image processingcomputer visiondeep learninginfrared thermographyfundus image,https://scholar.google.co.in/citations?hl=en&user=uJlD-A0AAAAJ
90,Dacheng Tao,The University of Sydney,135,11958,69814,116,53897,https://www.ae-info.org/ae/User/Tao_Dacheng,artificial intelligencemachine learningcomputer visionimage processingdata mining,https://scholar.google.co.in/citations?hl=en&user=RwlJNLcAAAAJ
91,Athanasios Vasilakos,"PROF OF COMPLEX SYSTEMS, CYBERSECURITY, AI",121,7598,52430,108,41983,https://orcid.org/0000-0003-1902-9877,CybersecurityIoTs/Mobile NetsBig Data AnalyticsCloud ComputingArtificial Intelligence/Machine Learning,https://scholar.google.co.in/citations?hl=en&user=_yWPQWoAAAAJ
92,"Cheng-Xiang Wang, MAE, FIEEE, FIET","Professor of Wireless Communications, Heriot-Watt University",62,2481,17149,53,12764,https://scholar.google.com/citations?user=-hl4nVUAAAAJ&hl=nl,Wireless channel measurements and modelingB5G wireless communication networks,https://scholar.google.co.in/citations?hl=en&user=-hl4nVUAAAAJ
93,Huanqing Wang,"Carleton University, Ottawa, ON, Canada",38,1030,5127,36,4829,https://stat.uchicago.edu/people/profile/huanqing-wang/,,https://scholar.google.co.in/citations?hl=en&user=YqVvBS0AAAAJ
94,Zhaocheng Wang,Professor of Tsinghua University,60,2479,14147,52,11769,https://isearch.asu.edu/profile/2509398,Wireless CommunicationsMillimeter Wave CommunicationsOptical Wireless Communications,https://scholar.google.co.in/citations?hl=en&user=jhyC8TsAAAAJ
95,Zidong Wang,"Chair Professor, MAE, MEASA, FIEEE, Brunel University London, UK",128,7396,55670,97,33753,https://dl.acm.org/profile/81451595685,Intelligent Data AnalysisControl EngineeringSignal ProcessingBioinformatics,https://scholar.google.co.uk/citations?user=Bbz0jRUAAAAJ&hl=en
96,Jiafu Wan,"Professor, Highly Cited Researcher, South China University of Technology",56,3324,16274,53,14693,https://www.researchgate.net/profile/Jiafu-Wan,Intelligent ManufacturingRoboticsSmart FactoryBig Data AnalyticsCyber-Physical Systems,https://scholar.google.co.uk/citations?hl=en&user=WHwcWkwAAAAJ
97,Zheng-Guang Wu,Zhejiang University,67,2358,14447,58,11409,https://scholar.google.com/citations?user=vy6JCNgAAAAJ&hl=en,Markov Jump SystemsSampled-Data Control SystemsNeural NetworksFuzzy SystemsSingular Systems,https://scholar.google.co.uk/citations?hl=en&user=vy6JCNgAAAAJ
98,Meimei Xia,Beijing Jiaotong University,32,961,8450,29,6159,https://ideas.repec.org/a/spr/grdene/v22y2013i2d10.1007_s10726-011-9261-7.html,Behavior decison makinginformation fusion,https://scholar.google.co.uk/citations?hl=en&user=cQA54WQAAAAJ
99,Zeshui Xu (徐泽水),"Academician of EASA,IASCYS; Fellow of IEEE,IFSA,IET,RSA,ORS,BCS,VEBLEO,IAAM,AAIA; Sichuan University",136,7922,69914,107,43629,http://nohakuhimoi28.inoxdvr.com/102.html,Decision MakingInformation FusionFuzzy SetsComputational IntelligenceBibliometrics,https://scholar.google.co.uk/citations?hl=en&user=kd9L_GUAAAAJ
100,"Laurence T. Yang, FCAE, FEIC, MAE, FIEEE, FIET","Professor and W.F. James Research Chair, St Francis Xavier University, Canada",82,4355,28012,72,21032,https://scholar.google.ru/citations?user=a39Yz5cAAAAJ&hl=ja,Parallel and Distributed ComputingCloud ComputingEmbedded and Ubiquitous ComputingBig DataCyber-Physical-Social Systems,https://scholar.google.co.uk/citations?hl=en&user=a39Yz5cAAAAJ
101,Xin-She Yang (DPhil),"Computational intelligence, swarm intelligence, optimization, metaheuristics, nature-inspired",87,9304,64243,79,48824,https://loop.frontiersin.org/people/236249/overview,swarm intelligenceoptimizationmetaheuristicscomputational intelligence.,https://scholar.google.co.uk/citations?hl=en&user=fA6aTlAAAAAJ
102,Yi Yang,University of Technology Sydney,93,7819,33114,87,30180,http://yya518.github.io/,multimediacomputer visionmachine learning,https://scholar.google.co.uk/citations?hl=en&user=RMSuNFwAAAAJ
103,F. Richard Yu,"Carleton University, Ottawa, ON, Canada",87,5455,29948,79,24167,https://www.researchgate.net/lab/F-Richard-Yu-Lab?_sg=375bHqzewDICYIrQ6IFi1N2DwgvRIM-coguCIBtuJYtN-d6aLoE-tuoOLS_KOKg0aTsa6kyt19PXZbSnn1AGQcuFAw,AISecurityWirelessConnected/Autonomous Vehicles,https://scholar.google.co.uk/citations?hl=en&user=zuGMGBoAAAAJ
104,Yong Zeng (曾勇）,"Southeast University, China; Purple Mountain Laboratories, China",43,3627,12983,43,12759,http://www.citmd.com/CIT/2021/program.php?day=5&c_id=100,UAV communicationsMassive MIMOExtremely-Large MIMO (XL-MIMO)Integrated Sensing and Communication,https://scholar.google.co.uk/citations?hl=en&user=ENldmwIAAAAJ
105,Zhigang Zeng,Huazhong University of Science and Technology,66,2582,13867,55,10804,https://ieeexplore.ieee.org/author/37274114100,Stability analysisMemristorComputational intelligenceAssociative memoriesNeural Networks,https://scholar.google.co.uk/citations?hl=en&user=BrJUTvoAAAAJ
106,Haijun Zhang,"Professor, University of Science and Technology Beijing",41,1928,8850,40,8254,http://chemen.lzu.edu.cn/index.php?m=content&c=index&a=show&catid=12&id=184,Wireless CommunicationsResource AllocationMobility Management,https://scholar.google.co.uk/citations?hl=en&user=B3oYgSIAAAAJ
107,Hongyu Zhang,"School of Business, Central South University",55,1398,7383,55,6926,https://scholar.google.com/citations?user=zsUN6PkAAAAJ&hl=en,DSSInformation SystemsE-Commerce,https://scholar.google.co.uk/citations?hl=en&user=B1gqJ8UAAAAJ
108,Qingfu Zhang,"Chair Professor, FIEEE, City University of Hong Kong",65,3647,26824,58,19086,http://staff.ustc.edu.cn/~hchen/cec/index.html,evolutionary computationmultiobjective optimizationcomputational intelligence,https://scholar.google.co.uk/citations?hl=en&user=nhL9PHwAAAAJ
109,Rui Zhang,"Chair Professor, National University of Singapore",116,10163,55349,102,43885,https://ryanzhumich.github.io/,Wireless CommunicationsMIMOCognitive RadioWireless Power TransferUAV,https://scholar.google.co.uk/citations?hl=en&user=yoJqPIkAAAAJ
110,Xian-Ming Zhang,Swinburne University of Technology,46,2047,9947,41,8286,https://research.com/u/xian-ming-zhang,Networked Control SystemsEvent-triggered ControlH-infinity FilteringTime-delay SystemsNeural Networks,https://scholar.google.co.uk/citations?hl=en&user=aZcLkqgAAAAJ
111,Yan Zhang,"IEEE Fellow, Highly Cited Researcher, University of Oslo, Norway",88,5423,26748,77,20713,https://www.usf.edu/engineering/cse/people/zhang-yan.aspx,wireless networkssmart gridedge intelligenceblockchaindigital twin,https://scholar.google.co.uk/citations?hl=en&user=-gahn9AAAAAJ
112,Jianming Zhan,Hubei University for Nationalities,41,796,6559,33,4290,https://scholar.google.com/citations?user=XmJAmNIAAAAJ&hl=en,logical algebras(BL-algebrasR0-algebras and MTL-algebras)fuzzy algebras(semiringshemirings and rings) and their hyperstuctures(hyperringhypergroups,https://scholar.google.co.uk/citations?hl=en&user=XmJAmNIAAAAJ
113,Nan Zhao (赵楠),Dalian University of Technology,47,2120,7760,45,7343,https://zh-cn.facebook.com/nan.zhao.731,UAV communicationsNOMAinterference alignmentcognitive radiophysical layer security,https://scholar.google.co.uk/citations?hl=en&user=Xq8A1xcAAAAJ
114,Quan Zou (邹权),University of Electronic Science and Technology of China,63,2671,12527,60,11267,https://baike.baidu.com/item/%E9%82%B9%E6%9D%83/8809218,Bioinformaticsdata mining,https://scholar.google.co.uk/citations?hl=en&user=RcaUHs4AAAAJ
